InvestFacilitation,FDIInflow,ZInvestFacilitation,InvestProm,ZInvestProm,InvProm_X_InvestFacil
4.4,6,0.89244,0.15,0.25483,0.66
3.8,8,-0.23248,-0.01,0.08894,-0.05
4.2,4,0.51747,0.1,0.20502,0.42
4,6,0.14249,0.1,0.20296,0.4
3.6,6,-0.60746,-1.1,-1.02386,-3.94
4,10,0.14249,1.03,1.15777,4.11
4,9,0.14249,-1.17,-1.09817,-4.67
4.2,9,0.51747,0.06,0.16433,0.26
3,3,-1.73239,-0.96,-0.88276,-2.87
3.8,5,-0.23248,0.09,0.1941,0.34
3.6,9,-0.60746,0.02,0.12043,0.07
4.2,5,0.51747,1.16,1.2917,4.87
4.2,4,0.51747,0.17,0.2805,0.73
3.2,5,-1.35741,-0.94,-0.85968,-2.99
3.8,9,-0.23248,-1.13,-1.05848,-4.29
3.8,8,-0.23248,0,0.10158,0
4,9,0.14249,-0.94,-0.86743,-3.77
3.8,8,-0.23248,0.02,0.1176,0.06
3.6,8,-0.60746,-1.08,-1.00855,-3.89
3.8,8,-0.23248,-0.96,-0.8888,-3.66
4,8,0.14249,0.06,0.16628,0.25
4,6,0.14249,0.12,0.22908,0.5
3.2,7,-1.35741,-0.05,0.05474,-0.14
3.8,8,-0.23248,-0.1,0.00122,-0.37
3.8,10,-0.23248,0,0.10375,0.01
3.6,10,-0.60746,-1.02,-0.94337,-3.66
3.6,9,-0.60746,-0.88,-0.8048,-3.18
3.8,9,-0.23248,0.05,0.15227,0.19
3.8,11,-0.23248,-0.9,-0.82404,-3.42
3,1,-1.73239,-1.04,-0.96364,-3.11
3.8,10,-0.23248,0.18,0.28633,0.68
3.8,7,-0.23248,-2.03,-1.98178,-7.71
3.8,10,-0.23248,0.23,0.34213,0.89
3.8,10,-0.23248,0.05,0.1529,0.19
3.6,8,-0.60746,0.07,0.17437,0.26
3.6,8,-0.60746,-0.01,0.09256,-0.03
3.6,9,-0.60746,-0.97,-0.89518,-3.49
3.8,7,-0.23248,-1.05,-0.97285,-3.97
3.8,10,-0.23248,-0.93,-0.85679,-3.54
3.4,8,-0.98244,-0.98,-0.90191,-3.32
3.6,9,-0.60746,0.06,0.16682,0.23
3.8,7,-0.23248,-0.95,-0.87877,-3.63
3.2,8,-1.35741,-1.17,-1.1008,-3.74
4.4,7,0.89244,-0.05,0.0475,-0.23
4.6,6,1.26742,0.09,0.18927,0.39
